"","model","ICER","ICER_PFS","INB","Incremental Cost"
"1","best","-25687.6416635871","25033.8930801034",267554.206839452,-54681.8804132933
"2","Standard survival model","4562.10752746736","37116.9638970513",199935.44140231,9557.28336615878
"3","FP","-10364.7296906666","25056.9721564613",278517.17520336,-26156.5016584731
"4","RCS","-14945.7184680399","33352.6723651955",265692.324990221,-34546.4167030015
"5","RP","-941.974250658791","29534.1289119143",215055.367392496,-2006.86206163018
