"","Time","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","genf","FP1-1","FP1-2","FP2-1","FP2-2","RCS1","RCS2","RP-hazard-1","RP-hazard-2","RP-odds-1","RP-odds-2","RP-normal-1","RP-normal-2"
"1",0.0833333333333333,0.963887359619838,0.934747175499193,0.940758741281891,0.926173939082058,0.921861709595632,0.928651579690791,0.911074644760332,0.942668812020113,0.916808697464425,0.922591462961673,0.920358759671382,0.909197064396466,0.921135549447971,0.934762586017957,0.950286767944943,0.953667725557823,0.950664610435302,0.953401804947667,0.945753084991664,0.94579138586276
"2",0.166666666666667,0.929078842034904,0.885479173313303,0.89559920930348,0.865477762656776,0.855283133203263,0.870392913352542,0.836903241438115,0.854817239597726,0.85279895216128,0.868485326405139,0.834649100738226,0.820023544407559,0.854840848095936,0.86596174708509,0.847888290098345,0.836849863351212,0.845204931816409,0.835522497789633,0.83789011205146,0.829414129693573
"3",0.25,0.89552735192768,0.844313180842394,0.857360319880967,0.814879298048112,0.798204053754785,0.820793082999112,0.778483380417101,0.766220727182051,0.800838043181968,0.825292695435965,0.764447284984732,0.751776231976599,0.798686386775788,0.798177842400462,0.736189833204872,0.733151304786359,0.735893361722871,0.736014017333283,0.737222582047485,0.738312582252438
"4",0.333333333333333,0.863187494716917,0.808414019074501,0.823562879232418,0.771727638120705,0.748990924124131,0.777641498277267,0.731382275776158,0.705853160733569,0.757378204393436,0.78881202011052,0.708675921269938,0.699388154161303,0.750766663792645,0.736652633792606,0.685054811783129,0.695622299567213,0.686602646419803,0.696945990073157,0.689333448630157,0.695263770779472
"5",0.416666666666667,0.832015515139553,0.776345343228418,0.792981721168787,0.734238779755413,0.706337602911505,0.739554896671715,0.692405043520463,0.661001945925498,0.720287813660705,0.757005274027982,0.663995351667417,0.658053175553988,0.709577409617376,0.684228960296868,0.656405887294148,0.661104636132593,0.657685180258865,0.662025108168516,0.658840200039033,0.659532401701969
"6",0.5,0.801969238050603,0.74724830568007,0.764897250354682,0.701190956247186,0.669191427714665,0.705575764418674,0.65943719049486,0.625810794390266,0.688156700884597,0.728696723912292,0.627618586465654,0.624546439188245,0.673933399468552,0.641356468078592,0.630733520796284,0.629698069569301,0.631238572549293,0.630802573044319,0.631073275216821,0.628798385990066
"7",0.583333333333333,0.77300801136093,0.720555566110058,0.738840364216978,0.671716330565033,0.636697641266865,0.67500172171617,0.631052329519214,0.597141978713589,0.659993968010836,0.703133361543146,0.597506327351572,0.596752359679218,0.642896417837277,0.607023529923358,0.60469440623136,0.601752955876724,0.604648137416878,0.603205661733895,0.603946394599071,0.601937864220315
"8",0.666666666666667,0.745092651035668,0.69586642831228,0.714482981361851,0.645177267203809,0.608157241872256,0.647297445568487,0.606256457040099,0.573136195878462,0.635073383542013,0.67979775170476,0.572196551323273,0.573251090970872,0.615716757131801,0.579595028853936,0.579883952445305,0.577235373130003,0.579570543094548,0.578944569289167,0.578780021964862,0.578164856434098
"9",0.75,0.718185388078916,0.672883950982988,0.691583696559246,0.621091627556822,0.582994744836922,0.622043534172724,0.584334688886448,0.552609115749664,0.612845683783641,0.658315815760469,0.550633458297707,0.553060409790388,0.591790051264727,0.557367855961794,0.557095788319667,0.555863495192866,0.556756587671725,0.557644466376421,0.5561073245798,0.556976804109254
"10",0.833333333333333,0.692249817432935,0.651379955592971,0.669957919660913,0.59908596774227,0.560733326085414,0.598904403648767,0.564758331201324,0.534764084571729,0.592885101404798,0.63840652263151,0.532042792576204,0.535480564417985,0.570625084400912,0.539009766499629,0.536695749071637,0.537144334327168,0.536487413956825,0.538894370611363,0.536071434932959,0.538129882686301
"11",0.916666666666667,0.667250848722747,0.631174065526259,0.649460185243507,0.578865105253592,0.540975510892815,0.577606978736673,0.547126825522356,0.519041880804475,0.574854962730862,0.619852291024333,0.515846853118509,0.519999649037307,0.551819533136758,0.52358134868429,0.518807177076628,0.520671381688736,0.51879420318928,0.522340628215283,0.518619934244698,0.521385391694473
"12",1,0.643154658779465,0.612120413384501,0.629973044267619,0.56019165454672,0.523388061380903,0.557925945427707,0.531130295366694,0.505036257252819,0.558484609180593,0.602480530170716,0.501607182604854,0.506234313323568,0.535041506912486,0.510406757001801,0.503351990436169,0.506115966235637,0.50352376275659,0.507684417554084,0.503556531776567,0.506516580764139
"13",1.08333333333333,0.619928645878137,0.594098819065717,0.611399757076673,0.542871855580386,0.50769006773964,0.539673207501511,0.516524641060197,0.492443657123172,0.543553387136375,0.5861515787316,0.488985633184168,0.493891520652121,0.520015370413808,0.49899029533026,0.48990668430018,0.493209649643576,0.490232289084631,0.494673866967704,0.490435796834859,0.493316658461743
"14",1.16666666666667,0.597541385628179,0.577008713422727,0.593659300785284,0.526745505411792,0.493643501853007,0.52269014890066,0.503114518954891,0.481031840786328,0.529879230267312,0.570750518589468,0.477717544334329,0.48274318951938,0.506510759431361,0.488962034949798,0.478097628529021,0.481731158792715,0.478541690293479,0.483096569293161,0.478884098584896,0.481600997636545
"15",1.25,0.575962588456725,0.560764821563383,0.576682848240381,0.511678642835811,0.481045676781304,0.506841831470086,0.490741421022744,0.470619533689816,0.517310325806996,0.556181439673943,0.467592965071731,0.472608943756034,0.494334000587744,0.480041530678782,0.467632841721775,0.471482169921781,0.468160724786621,0.472756836116338,0.468614884969549,0.471183399378609
