"","hazKM","Time","AtRisk","Events","hazLT","lnTime","MyId","EventsL","surv","timedelta","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","FP1-1","FP1-2","FP2-1","FP2-2","RCS1","RCS2","RP-hazard-1","RP-hazard-2","RP-odds-1","RP-odds-2","RP-normal-1","RP-normal-2"
"1",0.0321543408360129,0.0416666666666667,311,10,0.0326797385620915,-3.17805383034795,1,0,0.967845659163987,0.0833333333333333,0.0904483228074393,0.157698067140732,0.128695382265198,0.0820700753519442,0.176455338895699,0.081685308108304,0.00290310542243193,0.187047992278148,0.166917030063072,0.0191485290129535,0.0108405337138633,0.170915053566177,0.0338072972748387,0.00474324196200591,0.0302739811198765,0.00902481172193878,0.0135534096509949,0.019054667894774,0.0028462405015851
"2",0.0618556701030928,0.125,291,18,0.0638297872340425,-2.07944154167984,2,10,0.907978917360029,0.0833333333333333,0.0904483228074393,0.122504388323427,0.10463213923241,0.149513961337652,0.165240115987721,0.158620751759307,0.199155730941502,0.155881763011706,0.156792046843789,0.187946057529992,0.212534374263637,0.159111133098801,0.112176266838347,0.160813608963572,0.152205045566846,0.144414872664181,0.142373892667108,0.142898064828337,0.18293419033849
"3",0.443159922928709,0.208333333333333,259.5,115,0.569306930693069,-1.56861591791385,3,18,0.505599050321866,0.0833333333333333,0.0904483228074393,0.108932081808788,0.0960732000519576,0.156409068948083,0.154737714951061,0.191601837171367,0.227142743907362,0.137235438975008,0.147225742109888,0.232352695202111,0.239387441874228,0.148088169253678,0.252049989583154,0.309640626759024,0.228199921575795,0.286835889354984,0.275171798829375,0.240028128808014,0.276931903275182
"4",0.139194139194139,0.291666666666667,136.5,19,0.149606299212598,-1.23214368129263,4,115,0.43522262573494,0.0833333333333333,0.0904483228074393,0.100824412650922,0.0912511809444635,0.151423413507109,0.144902829952353,0.200256379604812,0.202288380231275,0.12361210425898,0.138194269223269,0.220958398605861,0.210071839904972,0.137843733749506,0.297735865710278,0.244581284751178,0.240889507410987,0.300487503717169,0.308483423284008,0.288344971815165,0.255348060146681
"5",0.197424892703863,0.375,116.5,23,0.219047619047619,-0.980829253011726,5,19,0.349298845546926,0.0833333333333333,0.0904483228074393,0.0951649277039291,0.0880451685495536,0.14388879438943,0.13569303472551,0.19655153916149,0.175117792901518,0.112854786102782,0.129673876391223,0.195944653643228,0.176546684445106,0.128345266544245,0.244075991550107,0.205870810518912,0.227058050850748,0.260156104630099,0.272202372126845,0.260741127252552,0.215012617751173
"6",0.161290322580645,0.458333333333333,93,15,0.175438596491228,-0.780158557549575,6,23,0.292960322071615,0.0833333333333333,0.0904483228074393,0.0908748943788896,0.0857161615369724,0.136172799482647,0.127068599550975,0.187311408089691,0.152427180693006,0.103986955856692,0.121641056241527,0.1699308470405,0.148144611472358,0.119540096557554,0.195860403475662,0.180113592822358,0.204994746594527,0.214299894211138,0.224540128728422,0.219683179038338,0.178736711320874
"7",0.0769230769230769,0.541666666666667,78,6,0.08,-0.613104472886409,7,15,0.270424912681491,0.0833333333333333,0.0904483228074393,0.0874514209302337,0.0839272639182825,0.128938334554409,0.118992319867473,0.176077898575103,0.134211018092525,0.0964707636528037,0.114072671318533,0.146514532971706,0.125494392374517,0.111377884915542,0.157676903766079,0.156478758307652,0.181626767047371,0.175290153922517,0.18339991990287,0.183763189566986,0.149337771528122
"8",0.0833333333333333,0.625,72,6,0.0869565217391304,-0.470003629245736,8,6,0.247889503291367,0.0833333333333333,0.0904483228074393,0.084621570148188,0.0824992781176422,0.122343813297477,0.111429355776939,0.164572184915388,0.119553956511457,0.0899741015704421,0.10694605795901,0.12643458342303,0.107600704270685,0.103811411582562,0.127560488061775,0.135890155008749,0.159652412120347,0.144360445718535,0.150653951666403,0.154264376664471,0.126012507741898
"9",0.121212121212121,0.708333333333333,66,8,0.129032258064516,-0.344840486291729,9,6,0.217842290771201,0.0833333333333333,0.0904483228074393,0.0822216169517311,0.0813266904571469,0.116385399665332,0.104347081750255,0.153574715922547,0.107614137577043,0.0842757549698851,0.100239110882394,0.109517783145891,0.093377418844933,0.0967965188866595,0.10382443318485,0.118309865085958,0.139974901682703,0.120194529661439,0.125058933169688,0.130422493762226,0.107477932656173
"10",0.0695652173913043,0.791666666666667,57.5,4,0.0720720720720721,-0.233614851181505,10,8,0.202688044456683,0.0833333333333333,0.0904483228074393,0.0801460885414148,0.0803427010831487,0.111008607369737,0.0977149458854525,0.143397585866043,0.0977479326535909,0.0792201656397835,0.0939303506875069,0.0953383016181373,0.081943998345637,0.0902920209936405,0.0850880216528029,0.103401115840522,0.122745667812698,0.101244930501135,0.10500779806263,0.111155559948723,0.0926209682089982
