"","hazKM","Time","AtRisk","Events","hazLT","lnTime","MyId","EventsL","surv","timedelta","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","genf","FP1-1","FP1-2","FP2-1","FP2-2","RCS1","RCS2","RP-hazard-1","RP-hazard-2","RP-odds-1","RP-odds-2","RP-normal-1","RP-normal-2"
"1",0.0127186009538951,0.0416666666666667,314.5,4,0.0128,-3.17805383034795,1,0,0.987281399046105,0.0833333333333333,0.0316068780390813,0.0297967503094397,0.0267068404765551,0.0117470446708154,0.0360707302523351,0.0208014268622139,0.0115575418810301,0.0117138803007946,0.0127190451629211,0.0170791789742754,0.0116579691869403,0.0115103657088212,0.0299400298734141,0.0266745964126242,0.0131291462350429,0.0123994647892365,0.0137719033539101,0.0208019448443999,0.0117471349962221,0.011725282674456
"2",0.0194174757281553,0.125,309,6,0.0196078431372549,-2.07944154167984,2,4,0.968110886443268,0.0833333333333333,0.0316068780390813,0.0304559941290649,0.0287146974276375,0.02928248896389,0.0357175292405593,0.0281969657230946,0.0292908682804029,0.0285715569708706,0.0293947564236612,0.0268066018776245,0.0304739371625172,0.0314144715483303,0.0305941057359526,0.0283451533687481,0.0268358186583271,0.0270551093563129,0.0263734994675879,0.0281972589083841,0.0292826490403152,0.029280869546999
"3",0.0497512437810945,0.208333333333333,301.5,15,0.0510204081632653,-1.56861591791385,3,6,0.919946165724697,0.0833333333333333,0.0316068780390813,0.0307674732650629,0.029631287146221,0.0361997778961838,0.035367786738047,0.0318837494433706,0.0363037807792535,0.0358273323911702,0.0314208938055916,0.0293269327822908,0.0365338694115283,0.0367167618351446,0.0312519421446305,0.0300660135046363,0.0340905972068319,0.0348805741207565,0.0332945001268721,0.0318838654877603,0.0361999428103561,0.0362110282088738
"4",0.0524475524475524,0.291666666666667,286,15,0.0538599640933573,-1.23214368129263,4,15,0.871697240948927,0.0833333333333333,0.0316068780390813,0.0309743774929459,0.0302170573866853,0.0389738078877083,0.0350214688794187,0.0341186996900849,0.0391049217469439,0.0389637087528326,0.0320028571905068,0.0304772367193149,0.0385719237395472,0.0383403358093859,0.0319032982958381,0.0317815676266898,0.0380633187081546,0.0389932191180269,0.0373077822313183,0.0341186750413951,0.0389739643946349,0.0389896536200168
"5",0.033271719038817,0.375,270.5,9,0.0338345864661654,-0.980829253011726,5,15,0.842694375261162,0.0833333333333333,0.0316068780390813,0.0311298235128609,0.0306409644612475,0.0399249068900957,0.0346785421309012,0.035526712638576,0.0400548051186055,0.0401679095335442,0.0322454153622867,0.0311353659098025,0.0390603264399547,0.038675337455881,0.0325371325163946,0.0334246003657195,0.0401251489198966,0.0409147116744896,0.0395460028142615,0.0355265753183581,0.0399250524922564,0.0399413651798277
"6",0.0268714011516315,0.458333333333333,260.5,7,0.0272373540856031,-0.780158557549575,6,9,0.820049996655296,0.0833333333333333,0.0316068780390813,0.0312545047183369,0.030969073499894,0.0399918312290943,0.0343389732870808,0.036394801502072,0.0401090882110433,0.040389341254456,0.0323688861029763,0.0315614348601549,0.0388662078485012,0.0384632193047193,0.0331416445446913,0.0349172513699222,0.0409965219445748,0.0414794482569512,0.0406313137025397,0.0363945737836614,0.0399919661738769,0.0400070628143813
"7",0.0355731225296443,0.541666666666667,253,9,0.0362173038229376,-0.613104472886409,7,7,0.790878257643843,0.0833333333333333,0.0316068780390813,0.0313586799810693,0.0312341032980484,0.0396057574007511,0.0340027294676879,0.036885684449236,0.0397061479966808,0.0400860046681226,0.0324401104768788,0.0318597600092934,0.0383516609337405,0.037995023850945,0.0337043570243333,0.0361734709914502,0.0410968145448093,0.0411815576379269,0.0409475559401961,0.0368853843497044,0.0396058826436958,0.0396189413168322
"8",0.0286885245901639,0.625,244,7,0.0291060291060291,-0.470003629245736,8,9,0.768189127301601,0.0833333333333333,0.0316068780390813,0.0314481940277245,0.0314546287407275,0.0389832591052835,0.0336697781144131,0.0371029140097466,0.0390657429826023,0.0394967876505955,0.0324848758149297,0.0320802926199849,0.0376859223955174,0.0374028066304857,0.0342122395289438,0.0371031668216426,0.0406866091381582,0.0403294025352749,0.0407457676001939,0.0371025562364152,0.0389833757116837,0.0389940711533429
"9",0.0421940928270042,0.708333333333333,237,10,0.0431034482758621,-0.344840486291729,9,7,0.735776083955542,0.0833333333333333,0.0316068780390813,0.0315266969405828,0.0316421909926877,0.0382401554679056,0.0333400869877549,0.037117216575393,0.0383051177677623,0.03875353342191,0.0325148269846666,0.0322499474118103,0.0369541563700847,0.036752430785864,0.034651877485922,0.037637596819363,0.039935311733122,0.0392315778231224,0.0401956445934951,0.0371168131918213,0.0382402644317202,0.0382485194204415
"10",0.039647577092511,0.791666666666667,227,9,0.0404494382022472,-0.233614851181505,10,10,0.706604344944089,0.0833333333333333,0.0316068780390813,0.0315966226141527,0.0318044385916968,0.0374411277947752,0.0330136241638977,0.036979173110727,0.0374895692215401,0.0379320047145826,0.0325358442546167,0.032384508276529,0.0362012782726354,0.036078880566016,0.0350096870267729,0.0377935698152687,0.0389567299665089,0.0380975891986928,0.0394142265420229,0.0369787340370675,0.0374412299919017,0.0374470916381547
