"","hazKM","Time","AtRisk","Events","hazLT","lnTime","MyId","EventsL","surv","timedelta","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","genf","FP1-1","FP1-2","FP2-1","FP2-2","RCS1","RCS2","RP-hazard-1","RP-hazard-2","RP-odds-1","RP-odds-2","RP-normal-1","RP-normal-2"
"1",0.0417335473515249,0.0416666666666667,311.5,13,0.0426229508196721,-3.17805383034795,1,0,0.958266452648475,0.0833333333333333,0.036780838066106,0.0840938116872952,0.0766389752224885,0.0776078835928564,0.0847606678393232,0.082057089377499,0.0724406671591588,0.0376128074757677,0.0987196211769151,0.107016642995317,0.0384903767395959,0.0359961346612387,0.0861537610103655,0.0625400931831352,0.0301224092534587,0.0247943238826942,0.0283397587756408,0.0239940092395616,0.0283781122127256,0.026346953423972
"2",0.0511073253833049,0.125,293.5,15,0.0524475524475524,-2.07944154167984,2,13,0.909292017249064,0.0833333333333333,0.036780838066106,0.0593267857081964,0.0537291800006782,0.0722510272678736,0.0780958777770725,0.0687963552778337,0.091124609188113,0.0784242877307511,0.0786865309827427,0.0681217208864887,0.0969165294384715,0.107165475551849,0.0783287964756057,0.0722275917107825,0.0786512947484635,0.0816447428617391,0.0805061821117932,0.0833876410542928,0.0876654295703746,0.0919545634647135
"3",0.190127970749543,0.208333333333333,273.5,52,0.21010101010101,-1.56861591791385,3,15,0.736410171190741,0.0833333333333333,0.036780838066106,0.050443032153997,0.046020777687258,0.0637679144705589,0.0719551447769733,0.061492205751983,0.0783661909064467,0.118452218840368,0.0672197997325013,0.0550586751730386,0.0936489373735336,0.0952784743502899,0.0712328910171403,0.079697277270372,0.155264403539538,0.177528925541115,0.157313622242912,0.172825522351717,0.151298648786728,0.155939918799337
"4",0.0413793103448276,0.291666666666667,217.5,9,0.0422535211267606,-1.23214368129263,4,52,0.705938026175952,0.0833333333333333,0.036780838066106,0.0453311979528997,0.0417530953414768,0.0571440343555122,0.0662972618689897,0.0562047038870483,0.0670555885783504,0.0937863492463748,0.0591019925728874,0.047818600526279,0.0817107627694964,0.079129297550249,0.0648289243979724,0.0816334437502572,0.102122563835419,0.0752371548778323,0.098200060698815,0.075015200036457,0.0916078780897123,0.0771568774732588
"5",0.0632603406326034,0.375,205.5,13,0.0653266331658292,-0.980829253011726,5,9,0.661280146174553,0.0833333333333333,0.036780838066106,0.0418540607429501,0.0389346675858159,0.0519756438515194,0.0610842622157014,0.0520222607286141,0.0583434270221371,0.0729449383027359,0.0528547653533168,0.0430248515119169,0.0702037865870866,0.0661931939371266,0.0590748616368835,0.0775119386056242,0.0528608706636506,0.0513044343833627,0.0518902761328886,0.0525468366332215,0.0526767286261888,0.0557757178609967
"6",0.0582010582010582,0.458333333333333,189,11,0.0599455040871935,-0.780158557549575,6,13,0.622792941899844,0.0833333333333333,0.036780838066106,0.039270139807383,0.0368911009163945,0.0478341597457105,0.0562811643384304,0.0485616965926115,0.0516001963939463,0.0596822222476931,0.0478177275620785,0.0395373262696833,0.0605123201076161,0.0563085676156792,0.0539159071358523,0.0694588027396172,0.0390661070022164,0.0499642996077375,0.0400686394727343,0.0499534478912943,0.0425727894523631,0.0500957810807526
"7",0.0455840455840456,0.541666666666667,175.5,8,0.0466472303206997,-0.613104472886409,7,11,0.59440352004686,0.0833333333333333,0.036780838066106,0.0372411832735554,0.0353203597548808,0.0444310970048885,0.0518557373764139,0.0456180116737877,0.0462647829309981,0.0505003419018942,0.0436316701660602,0.0368464687130633,0.0525746983467202,0.0486890632242197,0.0492846683078084,0.0598237638579892,0.0414356868286496,0.0471230980647693,0.0424790673958736,0.0465532681642998,0.0438732201604898,0.0455864394110294
"8",0.00600600600600601,0.625,166.5,1,0.00602409638554217,-0.470003629245736,8,8,0.590833528935467,0.0833333333333333,0.036780838066106,0.0355867203427522,0.0340637354634819,0.0415756255200789,0.0477782848038108,0.0430658070752505,0.0419480896737301,0.0437669629816416,0.0400774086585006,0.0346849048357028,0.0460823271649182,0.0427031960463215,0.0451204510148115,0.0504506547436191,0.0422674613260073,0.0435376134928789,0.0429438432835643,0.0428920590498378,0.0434521032657843,0.041900705479091
"9",0.0606060606060606,0.708333333333333,165,10,0.0625,-0.344840486291729,9,1,0.555025436272712,0.0833333333333333,0.036780838066106,0.0342000157826286,0.0330285948299372,0.0391380753707462,0.0440214451531905,0.040821572011198,0.0383862276877479,0.0386179085132132,0.037010594531556,0.0328967235671442,0.0407354540970669,0.0379076791182903,0.0413700089747596,0.0424548972714005,0.0411441673539279,0.0396176877756417,0.0414013537939877,0.0392355425814573,0.0413733378307327,0.0388076455639268
"10",0.0387096774193548,0.791666666666667,155,6,0.0394736842105263,-0.233614851181505,10,10,0.533540580675058,0.0833333333333333,0.036780838066106,0.0330131385730353,0.0321566704531737,0.0370274798224777,0.0405600084082716,0.0388263460209419,0.0353973011481699,0.0345528655118223,0.0343308235482598,0.0313839116917894,0.0362904955896683,0.0339963117317167,0.0379866118975851,0.0361326363859629,0.0387952045262206,0.0359427368842244,0.0387022596251475,0.0358075966094069,0.0383859756402741,0.0358706620495089
"11",0.0269360269360269,0.875,148.5,4,0.0273037542662116,-0.133531392624523,11,6,0.519169117222531,0.0833333333333333,0.036780838066106,0.0319804063210732,0.0314091934699376,0.0351781056146587,0.0373707468338266,0.0370366950066426,0.0328528784475608,0.0312621164154583,0.0319653202543613,0.0300812743155849,0.0325588528929277,0.030755137936065,0.0349292245743238,0.0311399074981,0.0356626458376628,0.032659740617183,0.0353511962842213,0.0326667614680688,0.0349210582081677,0.0330018293740457
"12",0.0487804878048781,0.958333333333333,143.5,7,0.05,-0.0425596144187959,12,4,0.493843794431188,0.0833333333333333,0.036780838066106,0.0310697501899373,0.0307592131735741,0.0335411997141768,0.0344322591075486,0.0354195738249191,0.0306600441120405,0.0285436715097663,0.0298596074715737,0.0289434934810312,0.0293962056844677,0.0280318075129597,0.03216178656857,0.0271650047580754,0.0320437845587402,0.0297140336538486,0.0316675512091762,0.0297982515652107,0.0312420552552119,0.0302531888956582
"13",0.0147058823529412,1.04166666666667,136,2,0.0148148148148148,0.0408219945202552,13,7,0.486581385689553,0.0833333333333333,0.036780838066106,0.0302578684665996,0.0301873237313471,0.03207977535529,0.0317248267079378,0.0339491965683244,0.0287500456159187,0.026260177788985,0.0279718341024686,0.0279379343074483,0.0266919315840838,0.0257156291273468,0.0296525820531777,0.0239765399576736,0.0285908970937982,0.0270605767233591,0.0282432133251692,0.0271818386940846,0.0278676223207522,0.0276496821187455
"14",0.0223880597014925,1.125,134,3,0.0226415094339623,0.117783035656383,14,2,0.475687772577101,0.0833333333333333,0.036780838066106,0.0295273438424718,0.0296791425970587,0.0307652152305849,0.0292302815945073,0.0326050264861106,0.0270709678682163,0.0243149794342453,0.0262691553861295,0.0270404031551513,0.0243606350453504,0.0237246058496603,0.0273736897113756,0.0214014422016803,0.0256815936324376,0.0246619253763098,0.0253868139523579,0.0247956570009041,0.0250620958786416,0.0252010232298734
"15",0,1.20833333333333,131,0,0,0.189241999638528,15,3,0.475687772577101,0.0833333333333333,0.036780838066106,0.0288648457898114,0.0292237496859219,0.0295749945291933,0.0269318842923865,0.0313704292602179,0.0255828946650001,0.0226380843008491,0.0247253297533476,0.0262325235355,0.0223357836023349,0.0219968976319428,0.0253005032753699,0.019309228244901,0.0232196828641941,0.0224889739567926,0.022987674242904,0.0226207145243079,0.0227109444249418,0.0229119730299595
"16",0.0152671755725191,1.29166666666667,131,2,0.0153846153846154,0.255933374137201,16,0,0.468425363835466,0.0833333333333333,0.036780838066106,0.0282599647465275,0.0288126821146576,0.0284911148624363,0.0248142115632163,0.0302317390309138,0.0242546374269206,0.0211775627330524,0.0233190700573684,0.0255000468251139,0.0205650254609211,0.0204850973338073,0.023411314069934,0.0176007189716586,0.0211271182104424,0.0205956908229762,0.0209589788643927,0.0207262513821227,0.0207258024199626,0.0209079225968666
"17",0.0310077519379845,1.375,129,4,0.031496062992126,0.318453731118535,17,2,0.453900546352195,0.0833333333333333,0.036780838066106,0.0277044305917162,0.0284392646842806,0.0274990020495812,0.0228630529085604,0.0291775918256705,0.023061474395997,0.0198940740825644,0.0220328805057849,0.0248317275706601,0.0190067576633249,0.0191523192998775,0.0216869477740621,0.016199904731392,0.0193407106138345,0.0189754213165992,0.0192324494656948,0.0191081009541667,0.0190379927925771,0.0192036611235513
"18",0.016,1.45833333333333,125,2,0.0161290322580645,0.377294231141468,18,4,0.44663813761056,0.0833333333333333,0.036780838066106,0.0271915736727485,0.0280981509895063,0.0265867142456641,0.021065315211324,0.0281984381863464,0.0219835561636596,0.018757269849275,0.0208522164543466,0.0242185528118389,0.0176276017540229,0.0179694761659587,0.0201104484540564,0.0150480446983551,0.017809246034303,0.0175820131174841,0.0177541163985538,0.0177171540822532,0.0175937008279617,0.0177451111121074
"19",0.016260162601626,1.54166666666667,123,2,0.0163934426229508,0.432864082296279,19,2,0.439375728868925,0.0833333333333333,0.036780838066106,0.0267159438674128,0.0277850009763108,0.0257443624506825,0.0194089348752847,0.0272861793808352,0.021004760098881,0.0177433633709358,0.019764864790643,0.0236532006514203,0.0164005337306959,0.0169133490879167,0.0186668037224545,0.0140993569613423,0.0164910972475999,0.0163782206955525,0.0164810551158232,0.0165144000397299,0.0163504003671413,0.0164894817255128
