"","nivpfs-nivos-ipipfs-ipios","ICER","ICER_PFS"
"88","RP - FP - standard dist - RP","14512.6436517513","38886.7155773268"
"89","RP - FP - RCS - standard dist","13028.9297671593","30841.8716607739"
"90","RP - FP - RCS - FP","1404.62396959208","30841.8716607739"
"91","RP - FP - RCS - RP","13028.9914055641","30841.8716607739"
"92","RP - RCS - standard dist - standard dist","14412.797596051","38886.7155773268"
"93","RP - RCS - standard dist - FP","3100.32144444171","38886.7155773268"
"94","RP - RCS - standard dist - RCS","-17995.8231327978","38886.7155773268"
"95","RP - RCS - standard dist - RP","14412.8576481493","38886.7155773268"
"96","RP - RCS - RCS - standard dist","12903.1759410117","30841.8716607739"
"97","RP - RCS - RCS - FP","1045.64761024607","30841.8716607739"
"98","RP - RCS - RCS - RP","12903.2386635798","30841.8716607739"
"99","RP - RP - standard dist - standard dist","9550.2777842503","38886.7155773268"
"100","RP - RP - standard dist - FP","-14270.8885225587","38886.7155773268"
"101","RP - RP - standard dist - RCS","-80140.289738596","38886.7155773268"
"102","RP - RP - standard dist - RP","9550.3898583532","38886.7155773268"
"103","RP - RP - RCS - standard dist","6651.60548837406","30841.8716607739"
"104","RP - RP - RCS - FP","-19412.6348969886","30841.8716607739"
"105","RP - RP - RCS - RP","6651.72657224236","30841.8716607739"
