"","Time","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","genf","FP1-1","FP1-2","FP2-1","FP2-2","RCS1","RCS2","RP-hazard-1","RP-hazard-2","RP-odds-1","RP-odds-2","RP-normal-1","RP-normal-2"
"1",0.0833333333333333,0.976194711520124,0.961069547821066,0.964798945141827,0.972244476936335,0.959832940817396,0.969090011110748,0.978411881154489,0.980292754787186,0.960651767480731,0.966293751798296,0.976259330351873,0.977673349054584,0.96694327752058,0.972627883170928,0.979617889190857,0.97978954007783,0.979730254964351,0.980334056440582,0.977777888547078,0.978618620248524
"2",0.166666666666667,0.952956114799858,0.928120837848387,0.934719790697987,0.937939089984051,0.922184326721131,0.936750197022571,0.941748353710347,0.949546878267988,0.923718249406921,0.933763173400274,0.943121522345653,0.947730216054284,0.934981042311725,0.944593208216004,0.947198351311731,0.944945319146614,0.946862859584023,0.950347445169059,0.943180427521446,0.947952268191764
"3",0.25,0.930270719578385,0.898585940777053,0.907488584383525,0.902975676037788,0.886861996337191,0.904546324221493,0.901781742479486,0.913597235670416,0.889019479536217,0.902391358991332,0.907804987484805,0.915013610179516,0.904081542901559,0.915972158517378,0.909985255312152,0.905434203332765,0.909119697166087,0.915219793455014,0.905857252932898,0.913786421502355
"4",0.333333333333333,0.90812535673444,0.87146457133495,0.882246521213224,0.869163263841464,0.853690809895156,0.873119273477311,0.862726869244016,0.876056984526069,0.856391039401303,0.872159412459009,0.872636472657672,0.881570980397097,0.874216644668862,0.886879786323793,0.872240432268548,0.86722998611341,0.871124159954464,0.878171437360082,0.86946912869629,0.878624251926332
"5",0.416666666666667,0.886507170641486,0.846220190862812,0.858543744063787,0.83708959321388,0.822510953402891,0.842776241899108,0.825979498193432,0.838981085519505,0.825682549555649,0.84304666168224,0.838546524635111,0.848440180253235,0.845361333175227,0.85746960044469,0.836232372386466,0.833098882489541,0.835235720992683,0.841159869709731,0.835305106819627,0.843685176397406
"6",0.5,0.865403611704887,0.822516483060819,0.836103641189476,0.806899662226175,0.793176428982941,0.813664032023413,0.791899250077385,0.803448591981994,0.796756321948194,0.815030867668714,0.805932946094372,0.81618661425542,0.817493259767695,0.827931222231205,0.803046602774748,0.802795095964804,0.802469203724086,0.805325140289469,0.803721232541775,0.809595287009354
"7",0.583333333333333,0.844802429076725,0.800121899248095,0.814738755730008,0.778563636810361,0.765553709171965,0.785841925309562,0.760453563070938,0.769962344398122,0.769486154755608,0.788088427208618,0.774953494992658,0.785122324459176,0.790592325597282,0.798485863356829,0.772958092996281,0.775109155383596,0.772950504220254,0.771285911855622,0.774602087115071,0.776676903656047
"8",0.666666666666667,0.824691663544054,0.77886666420337,0.794313413315663,0.751982472951892,0.739520535829554,0.759318397640837,0.731466078798932,0.738697958166219,0.743756253323861,0.76219456790414,0.745646853525858,0.755412233283508,0.764640301011767,0.7693795874573,0.745364996361953,0.749091347378649,0.745878269819284,0.739334701833758,0.747360821379159,0.745086373667596
"9",0.75,0.805059640586438,0.758620542966714,0.774724630726735,0.727033026874843,0.714964846759145,0.734071667781464,0.704717274813031,0.709652053304361,0.719460262886003,0.737323534621463,0.717989550506536,0.727131670361996,0.739620477938381,0.740874289398197,0.719676529311228,0.724052382090788,0.720555141248227,0.709564746513214,0.721533877986208,0.714897795480178
"10",0.833333333333333,0.785894963598773,0.739280179278156,0.755891366634403,0.703588089107556,0.691783815267617,0.710061971208512,0.679985856596037,0.682728376596214,0.696500400473694,0.713448766593224,0.691925227464494,0.700299934192376,0.715517353390364,0.713218318957504,0.695425279099733,0.699504480917307,0.696475938657372,0.681951287959858,0.696798377746412,0.686283808694338
"11",0.916666666666667,0.767186507275422,0.720761349961148,0.737748015959436,0.68152525877104,0.669882989729269,0.687239198820653,0.657065135051331,0.657786995292792,0.674786674962684,0.690543064572128,0.667380635383984,0.674900920090586,0.692316342625312,0.686608684982769,0.672252173655039,0.675178897282722,0.673283949912016,0.656402991015388,0.672930408623953,0.659362422807465
"12",1,0.748923411151862,0.70299395680202,0.72024024607667,0.660730617495247,0.649175521814649,0.66554777168676,0.635768524994552,0.634671897712617,0.654236185518715,0.668578747598935,0.644274745849298,0.650896274829307,0.670003520766315,0.661188886330817,0.649884834119038,0.651292052703102,0.650731685250067,0.632794035149685,0.649775013774002,0.634166463021705
"13",1.08333333333333,0.731095073300059,0.685918642102328,0.703322210125991,0.641099922077523,0.629581473429591,0.644929793024802,0.615930301765991,0.613226074396023,0.634772489866932,0.647527799098896,0.622524070444879,0.62823400469323,0.648565391881721,0.637052709038155,0.628118024123218,0.628069406304029,0.628650929983779,0.610983821904452,0.627225448063404,0.610673096289688
"14",1.16666666666667,0.713691144173935,0.669484417350602,0.686954612542487,0.622538614861844,0.611027193614047,0.625327091875297,0.597404372851149,0.59329938522443,0.61632503481789,0.627362002158955,0.602045795287315,0.606854206107597,0.627988669197381,0.614249806635037,0.60681499327586,0.605677429186458,0.606950264006552,0.590827059582747,0.60522513535383,0.588824457031702
"15",1.25,0.696701520601342,0.653646950958036,0.671103324602357,0.604961292037691,0.593444757698938,0.606682537571972,0.580062324207589,0.57475230235075,0.5988286423663,0.608053063962924,0.58275961270047,0.586692918855877,0.608259189289215,0.592792223495893,0.586080851842809,0.584235169903196,0.585804065570779,0.572162235310014,0.583928812750847,0.568541884437525
