"","hazKM","Time","AtRisk","Events","hazLT","lnTime","MyId","EventsL","surv","timedelta","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","genf","FP1-1","FP1-2","FP2-1","FP2-2","RCS1","RCS2","RP-hazard-1","RP-hazard-2","RP-odds-1","RP-odds-2","RP-normal-1","RP-normal-2"
"1",0.0126984126984127,0.0416666666666667,315,4,0.012779552715655,-3.17805383034795,1,0,0.987301587301587,0.0833333333333333,0.0240932129581015,0.0451991524356934,0.0407630004865797,0.0179708628566083,0.0414959808168485,0.0285328484401373,0.00699983594701507,0.0112259462675261,0.0406207229357404,0.0342979995578133,0.0110526263916492,0.0138640804386323,0.0336155673639912,0.0270281611933617,0.010862122442794,0.00927800999448391,0.0105284458745211,0.0116470879175616,0.00967339534002957,0.0119754082423333
"2",0.0161030595813204,0.125,310.5,5,0.0162337662337662,-2.07944154167984,2,4,0.971403011016538,0.0833333333333333,0.0240932129581015,0.0368113079399133,0.0333122251099533,0.0332423772315208,0.0405021019771039,0.0329634092064503,0.0321123861659239,0.0266789996462212,0.0396713723686173,0.0342697415054794,0.0307642392860673,0.0277272869095671,0.0336149254239836,0.0284947227363298,0.0281339136900009,0.0296129562577253,0.0283457503680564,0.0261847202587917,0.0309520359736268,0.0277418123179968
"3",0.0623973727422003,0.208333333333333,304.5,19,0.0644067796610169,-1.56861591791385,3,5,0.910790015255243,0.0833333333333333,0.0240932129581015,0.0334602594734215,0.0304844753249109,0.0373221957801264,0.039532027735507,0.0345750512772075,0.0415958520463664,0.0357538641661482,0.0387437583469835,0.0342132939828039,0.0367822506728632,0.0334517639395049,0.0336109821636363,0.0300067147695927,0.0375209399936845,0.0404338108518466,0.0381179899329641,0.0348154822007199,0.0388960080035263,0.0346818857960254
"4",0.0351493848857645,0.291666666666667,284.5,10,0.035778175313059,-1.23214368129263,4,19,0.878776306458925,0.0833333333333333,0.0240932129581015,0.031421405458669,0.0288250277622409,0.0382148438323305,0.0385851879431923,0.0352313553240149,0.0441320978988994,0.0406045252771142,0.0378374043117473,0.0341287938867826,0.0390137377911083,0.0363492507168319,0.0336002895585392,0.0315269245683882,0.0416180254980107,0.0434795960332026,0.0421148156936775,0.0397860155520923,0.0409712211725187,0.0381722002128477
"5",0.0402930402930403,0.375,273,11,0.0411214953271028,-0.980829253011726,5,10,0.843367737334207,0.0833333333333333,0.0240932129581015,0.029980039872983,0.0276863260051725,0.0379387476847343,0.0376610261070479,0.0354011572785781,0.0440245679714297,0.0428001724015297,0.0369518431540813,0.0340164458967716,0.0397657619927079,0.0378665648322227,0.0335794068317912,0.0330109941268302,0.0424962217024144,0.0419109282564573,0.0426216337004194,0.0423838359381443,0.0406602815720755,0.0400168729053799
"6",0.0230769230769231,0.458333333333333,260,6,0.0233463035019455,-0.780158557549575,6,11,0.823905404934186,0.0833333333333333,0.0240932129581015,0.0288767551294227,0.0268370797639547,0.0371885879153724,0.0367589990626439,0.0352845701197969,0.0428783818574826,0.0433774603452091,0.0360866170763802,0.0338765216788487,0.0398063299158548,0.0385925193657856,0.0335449090292398,0.0344077057804799,0.041461828232841,0.0384598367593552,0.0411697560456007,0.0434241783507593,0.0393613624151067,0.0409747226068432
"7",0.0355731225296443,0.541666666666667,253,9,0.0362173038229376,-0.613104472886409,7,6,0.794596517011626,0.0833333333333333,0.0240932129581015,0.027989327239684,0.0261697584312384,0.0362476298294204,0.0358785766549942,0.0349874448904091,0.0413404531260481,0.0429916279013781,0.0352412774527357,0.0337093588311548,0.0394611060608042,0.0388209721514062,0.0334933989804327,0.035659939140574,0.0393267727754229,0.0359365509414354,0.0387040288174891,0.0434432351236219,0.0376764792594127,0.0414163920496174
"8",0.0368852459016393,0.625,244,9,0.0375782881002088,-0.470003629245736,8,9,0.765287629089066,0.0833333333333333,0.0240932129581015,0.0272508630992125,0.0256262004899456,0.0352432931988441,0.0350192414269647,0.0345727439772856,0.0396897064333418,0.0420494908825391,0.0344153846890996,0.03351535957548,0.0388910262824623,0.0387180819397152,0.0334215226324695,0.0367064073731693,0.037196090051802,0.0345063581173818,0.036466575229084,0.0427996740937595,0.0362846250214396,0.0415418745720307
"9",0.0340425531914894,0.708333333333333,235,8,0.0346320346320346,-0.344840486291729,9,9,0.739235284269013,0.0833333333333333,0.0240932129581015,0.0266209563899952,0.0251716488564266,0.0342360259871893,0.0341804883151443,0.0340807255419453,0.0380506041966707,0.0408018816127605,0.0336085080832962,0.0332949892016308,0.0381843948027766,0.0383860968633527,0.0333259876607691,0.0374842289914904,0.0356458428165253,0.0339806497883813,0.0350172071459519,0.0417354043534323,0.0354348496409562,0.041466987385811
"10",0.0440528634361234,0.791666666666667,227,10,0.045045045045045,-0.233614851181505,10,8,0.706669853243946,0.0833333333333333,0.0240932129581015,0.0260734219115651,0.0247838021413251,0.0332549382647027,0.0333618243530006,0.0335383810291874,0.0364781819586369,0.0394028857726823,0.0328202256850388,0.0330487742723427,0.037393464748999,0.0378918940983586,0.033203585215198,0.0379389768906237,0.0346197236536795,0.034173057961388,0.034203412015081,0.0404142165093873,0.0349889447239387,0.0411511006876602
