"","Time","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","FP1-1","FP1-2","FP2-1","FP2-2","RCS1","RCS2","RP-hazard-1","RP-hazard-2","RP-odds-1","RP-odds-2","RP-normal-1","RP-normal-2"
"1",0.0833333333333333,0.887447924803757,0.871775048988065,0.888300207794635,0.880409101248237,0.83679107051633,0.88323992741831,0.885005045402627,0.848376095107584,0.84625429377539,0.908774537908268,0.907999684027017,0.855191161445915,0.95303623235064,0.953306121704504,0.920216821153666,0.948999544807142,0.940111962110821,0.932241840522451,0.916791102090859
"2",0.166666666666667,0.787563819238496,0.766807625445434,0.788586273236329,0.742293863409037,0.70800016214275,0.729372253279723,0.717369175769834,0.7321521686639,0.723236048634289,0.711767646532742,0.722640455707027,0.733630778141835,0.775077313473789,0.715406734060177,0.737948149491578,0.737218934976821,0.742595028022721,0.767261005766225,0.709428552310383
"3",0.25,0.698921877033725,0.677826590121062,0.699841086279779,0.622056107779007,0.605273010681424,0.585304290239584,0.581288426351796,0.639480059795635,0.623889919197685,0.555772943191315,0.563929672344793,0.631615820045621,0.545812608584347,0.530074697702588,0.561976153561179,0.527403641477502,0.530268091417855,0.562831558127039,0.546819754308061
"4",0.333333333333333,0.620256769373526,0.601209524103201,0.620955504414831,0.52341006791563,0.522506505496032,0.467321352950131,0.478907907817359,0.563820338875972,0.542955879004436,0.44774819801058,0.448661131365931,0.546105164344148,0.408756458047017,0.417569395272666,0.431291287942144,0.390312106851964,0.385106874587477,0.409051510454342,0.437457143263165
"5",0.416666666666667,0.550445582826018,0.534624954936547,0.550881456581487,0.44347358767968,0.45518994581622,0.375689509912821,0.401748467533467,0.500998332664496,0.476473996752395,0.372920728180298,0.367303247678213,0.47447585824663,0.332194306823494,0.339563858002175,0.340190137122639,0.305401194015135,0.296625893122903,0.313072257897462,0.362837305041542
"6",0.5,0.488491790196345,0.476394530236533,0.488661245658353,0.378586772190234,0.399952625085545,0.305646461800087,0.342550751603601,0.448147051811977,0.421435170898616,0.31957090276806,0.309306050667058,0.414472364261996,0.285687922053763,0.284578151798749,0.276921443432465,0.250925097405398,0.240903559862112,0.251584823357961,0.309931218869434
"7",0.583333333333333,0.433511025493419,0.425234081091878,0.433430873907132,0.325574272656539,0.35424927873525,0.252030777454617,0.296205908497645,0.403205300920212,0.375532324239137,0.280254065537062,0.267064203724665,0.364175597661856,0.255450451743464,0.244820372615274,0.232222333435874,0.214167096151895,0.203929432651731,0.210422328894296,0.27094833990908
"8",0.666666666666667,0.384718459953683,0.380123484195228,0.384415652672022,0.281916400287772,0.316138814011687,0.210609901240066,0.259225222987909,0.364642645611996,0.336981446662397,0.250370160044005,0.235553110333936,0.321966620501334,0.234654717303522,0.215293359819328,0.199887816500493,0.188164918162717,0.178149678012267,0.18165650697326,0.241235397963159
"9",0.75,0.341417598919594,0.34023183882277,0.340923331004465,0.245665831895252,0.284126917408783,0.178211086527329,0.229208638896719,0.331294694713733,0.304391678565402,0.227030139746445,0.21149828187585,0.286488879110745,0.219655943549456,0.192804223066214,0.175918654385942,0.169012147702736,0.159396037640626,0.160779542634365,0.217925605871692
"10",0.833333333333333,0.302990339652675,0.30487028280808,0.302336605253476,0.215325450205964,0.257052906548805,0.152529516932592,0.204475289555709,0.302258242905028,0.27667015136487,0.208368009996089,0.192743565614852,0.256611565551107,0.208382616415074,0.175279502689324,0.157734897439618,0.154418211568799,0.145261092790446,0.145130435836365,0.199187085906932
"11",0.916666666666667,0.268888148160352,0.273460182522386,0.2681057510459,0.18974059655768,0.23400756343255,0.131903042262344,0.183823913522314,0.276821457386983,0.252951686122242,0.193141851367845,0.177842137856106,0.231395663364975,0.199594020446637,0.161341753488715,0.143645977853152,0.142977704290148,0.134287027717961,0.133073154360576,0.18380749305664
"12",1,0.23862422908923,0.245510588457472,0.237741682862019,0.16801474346886,0.214272888627256,0.115128451349648,0.166378764271641,0.254415760081039,0.232546426586322,0.180501027727799,0.165802076400618,0.210063487983004,0.192513163621347,0.150053606285998,0.132520664883623,0.133791700078647,0.125551883514813,0.123562454692203,0.170958597419087
"13",1.08333333333333,0.211766576913133,0.220601632648631,0.210809557879733,0.149446116802425,0.197277520494469,0.101326893446888,0.151489422321038,0.234581732496147,0.214900520800434,0.169847336838108,0.155928501906266,0.191972012473732,0.186634225977326,0.140762082629864,0.123584951254238,0.126263682074172,0.118449805300646,0.115906998643068,0.160058387219521
