"","Time","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","FP1-1","FP1-2","FP2-1","FP2-2","RCS1","RCS2","RP-hazard-1","RP-hazard-2","RP-odds-1","RP-odds-2","RP-normal-1","RP-normal-2"
"1",0.0416666666666667,0.887447924803757,0.863489445224943,0.88891934319348,0.936551679522295,0.831954693493709,0.930529277308125,0.980261896639266,0.837297759209311,0.841923599703853,0.995831732801292,0.989534024954105,0.853943438652222,0.981597956924906,0.998115180597342,0.982152441549308,0.99511981464382,0.990007966891049,0.975983688340771,0.996457180272288
"2",0.125,0.787563819238496,0.756765449308094,0.789331487733991,0.80029113046567,0.700091430437804,0.790165861602462,0.813780579402471,0.717113982940356,0.716047785757879,0.816862313179548,0.825082296023397,0.731389822860488,0.87947445453318,0.84211890542999,0.837130850941464,0.856090570372643,0.854493494766742,0.857021509742192,0.816586298280737
"3",0.208333333333333,0.698921877033725,0.66747819398204,0.700600371457731,0.671259081901967,0.595467307174604,0.640753414172453,0.656711946157397,0.622858413671842,0.614856331084712,0.633326478963326,0.644877620973882,0.628507522894011,0.647968884035019,0.606927770313619,0.646904841643758,0.623862600163127,0.631470076527715,0.661802554710325,0.623469172793825
"4",0.291666666666667,0.620256769373526,0.591105198701744,0.621686980097879,0.563317444463886,0.511588632127811,0.5118151751417,0.536230983053744,0.546721638083383,0.532773726684825,0.501692811091032,0.506975508206854,0.542218372865526,0.463726815966295,0.466261833442938,0.492545901211152,0.450959418135446,0.449857081947188,0.476361982576959,0.489170317321916
"5",0.375,0.550445582826018,0.525005884036334,0.551567572455345,0.475556043883349,0.443683477794701,0.409655536885516,0.445852445151762,0.483997391438338,0.465622705555378,0.411132896275117,0.409027386653327,0.469919820525972,0.363105121350963,0.373162068319931,0.382776064675759,0.343179234427083,0.336339074261302,0.35506394131577,0.398768749194876
"6",0.458333333333333,0.488491790196345,0.467365824152108,0.489295146627243,0.404446064173148,0.388205255445238,0.331182211368927,0.377179722993299,0.431554180879441,0.410243618874157,0.347576673024617,0.339719931753781,0.409361682580767,0.304361799040612,0.308189201951956,0.306714737414133,0.275532129304834,0.266389041080975,0.278735359054403,0.335936112924845
"7",0.541666666666667,0.433511025493419,0.416832983267643,0.43401097659618,0.34655540839012,0.34248965090011,0.271240210549014,0.323956342143639,0.387186653158611,0.364224633406064,0.301503945478944,0.2898126989808,0.35861977299668,0.26738158180653,0.261826797513771,0.253511033162437,0.2310309261183,0.221186456785099,0.228772074677266,0.290500678053471
"8",0.625,0.384718459953683,0.372351123840672,0.384943109825154,0.299073793348981,0.304514686299869,0.225172889497245,0.281880174725675,0.349281523800892,0.325708595493643,0.267006956030829,0.253026791961329,0.316064298891731,0.242621861497061,0.227849574236804,0.215489101022598,0.200262035953392,0.190415989363921,0.194579702481405,0.256428859056001
"9",0.708333333333333,0.341417598919594,0.333069641348223,0.341400721381531,0.259809403993712,0.272730983804289,0.189370132832559,0.248009106020731,0.316625311526605,0.293253463270208,0.240414960711473,0.225261647777052,0.280325282606271,0.22516775834054,0.202288376477575,0.187644187016872,0.178032532742619,0.168481433413143,0.170211757067964,0.230066314498734
"10",0.791666666666667,0.302990339652675,0.29828905633837,0.302767212173214,0.227075367208038,0.245940380656596,0.161179476082672,0.220302192490823,0.28828531879833,0.26573052829974,0.219391493835756,0.20383562149916,0.250257964534556,0.212308108967943,0.182589923595006,0.166758224419379,0.161366193696726,0.152226443110819,0.15222681601516,0.209120315283266
"11",0.875,0.268888148160352,0.2674253835961,0.268493149319605,0.19957358312779,0.22320821961909,0.138684803283063,0.197315617366995,0.26353202538405,0.24224954292579,0.20240460601561,0.18696720684774,0.224910066415181,0.202459322494218,0.167077818206621,0.15074114271384,0.148477318387167,0.139783819253811,0.138551444412109,0.192099361235732
