"","Time","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","FP1-1","FP1-2","FP2-1","FP2-2","RCS1","RCS2","RP-hazard-1","RP-hazard-2","RP-odds-1","RP-odds-2","RP-normal-1","RP-normal-2"
"1",0.0833333333333333,0.913521540909757,0.874178043154408,0.893536935082451,0.877300688442187,0.843027520711731,0.880366835527812,0.899072593832953,0.844684797935881,0.850625588146758,0.89155004507487,0.881531015827948,0.847965076872594,0.938827390010594,0.947780674297598,0.913254220330337,0.943360578877926,0.937124118099435,0.923233668675194,0.931870767799856
"2",0.166666666666667,0.834521605706138,0.77947350295568,0.808811055141968,0.75080017433266,0.718450557434644,0.735971623720298,0.715968386336908,0.730160271458783,0.730720851305617,0.713984762404987,0.693168218030032,0.727298941258942,0.783828905164757,0.727047334150864,0.748198299198544,0.748984922123523,0.752685106314202,0.758513440869869,0.723428986532326
"3",0.25,0.762353463167156,0.702157399300942,0.736701040196858,0.643299219778522,0.618537202565562,0.603720562337313,0.576772668112005,0.641166763728673,0.633580380047609,0.567355575941148,0.552566550392634,0.630471561830153,0.58245577441629,0.546603435336805,0.588469091648569,0.551432316972282,0.555215700632866,0.576480011754422,0.551009765721728
"4",0.333333333333333,0.69642631039035,0.636752428108564,0.673626181873222,0.554934103881773,0.537610865067202,0.494569311229145,0.477798232933828,0.569830301971979,0.554194223845152,0.460337742633639,0.455634638583275,0.551953321888159,0.443491280533365,0.439102047814208,0.464891688765429,0.415625461983369,0.413446084461712,0.43541943301543,0.43551720029218
"5",0.416666666666667,0.63620043619789,0.580269766491139,0.617622823036176,0.482439825998599,0.47145561865368,0.408030531442457,0.405865587724145,0.511380430389496,0.488782318565645,0.383457430790657,0.387648576222094,0.487653075341112,0.356414688972251,0.362083010203525,0.374400110643854,0.328022018778407,0.322644463516562,0.342566747424879,0.357988652120079
"6",0.5,0.581182802802956,0.530817227101534,0.567425922203241,0.422579137801621,0.416906008985455,0.340200654335684,0.351850815454119,0.462677273062471,0.434465698148415,0.327474819093747,0.338304450435836,0.434511580587071,0.299002471710078,0.306107310135152,0.308610730549122,0.270245355723628,0.263393026284998,0.280213449069012,0.30408295429703
"7",0.583333333333333,0.530923009566808,0.487087342871113,0.522139225968241,0.372716234613931,0.371560623137706,0.286930590230662,0.310043457346256,0.421541838977276,0.389031943528179,0.28581743105877,0.301244314443286,0.390215669641413,0.259492783050875,0.264579385893698,0.260264255749789,0.230546056138316,0.223098996277511,0.236822295160176,0.265152013067012
"8",0.666666666666667,0.485009605803917,0.448123116029175,0.481087119407355,0.330805109734317,0.333579743123654,0.244754895043117,0.276835461900414,0.386403818032489,0.350766224089605,0.254105102595552,0.27255238577555,0.352997835498446,0.231305800900518,0.233084108932569,0.224122092434221,0.202131314096948,0.194522769475413,0.205532800854556,0.236058889776164
"9",0.75,0.443066722450028,0.413194994543153,0.443737898858207,0.295273197634938,0.301540811305294,0.211005142182343,0.249876917025602,0.356098531779442,0.31832844619421,0.229438087015297,0.249753086140788,0.321494036191217,0.210573453818924,0.20869066350578,0.196592166898827,0.181048050386979,0.173489421119732,0.182239846744916,0.21366986949952
"10",0.833333333333333,0.404750995018385,0.381729774422782,0.409659854675615,0.264908200989199,0.27433409850065,0.183687163412575,0.227586261442559,0.329742112966738,0.290663120992168,0.20987259658104,0.231230227752129,0.294641660936339,0.194920787014261,0.189431704342194,0.175234197263597,0.164917791269492,0.157510166666164,0.164415330796741,0.196004608534969
"11",0.916666666666667,0.369748752653953,0.353266505550969,0.378494184191063,0.23876825532081,0.251086633796934,0.161322857605749,0.208865931978895,0.306651009428168,0.266932664290699,0.194080605776441,0.215894767481788,0.271605525521652,0.182833147346802,0.173962525276427,0.158378482669674,0.152253289715475,0.145042017197004,0.150449254303632,0.181767074635888
"12",1,0.3377734502739,0.327427619536957,0.349937284345757,0.216114648702334,0.231106208210329,0.142814428000409,0.192933074879697,0.286288092387806,0.246467625765113,0.181135729675211,0.202991155032843,0.251723646500588,0.173311968400851,0.1613453485593,0.14486652739801,0.142089478521563,0.135091347066194,0.139282216339882,0.170081377377146
"13",1.08333333333333,0.308563322772618,0.303899193539065,0.323728622582341,0.196362285150584,0.213839777870201,0.127340801400074,0.179215623266845,0.268225467611311,0.228729253507263,0.170378341581185,0.191981269009701,0.234467120012823,0.165679551211303,0.150912950711892,0.13388112533675,0.133778690260558,0.126995814151036,0.130195789982825,0.160338293829088
"14",1.16666666666667,0.281879242087477,0.282416979724191,0.2996421039425,0.179043265428335,0.198842294191119,0.114282086532003,0.167286528891865,0.25211815995413,0.21328112021281,0.161329520786563,0.182472764471685,0.21941016043779,0.159464114286179,0.142181454690046,0.12483584479621,0.126873049851796,0.120300126763751,0.122689360267414,0.152103127593669
"15",1.25,0.257502759582227,0.262756226225051,0.277479726615871,0.163779972532007,0.185753152754444,0.103165396808653,0.15682093928211,0.237685091717119,0.199767458649903,0.153635194122274,0.174173553092357,0.206207527896674,0.154329790695686,0.134793639105623,0.117302721710167,0.121054532823966,0.114682706192169,0.116405509003966,0.145058619191348
"16",1.33333333333333,0.235234317722071,0.244724078486098,0.257066791195456,0.150265019620804,0.17427825712304,0.0936261317178113,0.147567581648078,0.224695078962641,0.187896502457938,0.147029188541705,0.166862102085876,0.194577378814792,0.150032689817814,0.128481410366941,0.110964388323238,0.116091975339243,0.109910909603719,0.111083460636794,0.138968526547615
